ID,First Name,Last Name,Basic Salary,Housing Allowance,Transportation Allowance,Medical Allowance,Gross Salary,Net Salary
419,Dean,Glass,60587,18046,5676,2354,86663.0,73663.55
420,Brandy,Landry,138914,18214,3339,1453,161920.0,137632.0
421,Patricia,Booth,135625,12020,8382,1838,157865.0,134185.25
422,Lisa,Burns,35926,7202,3487,3571,50186.0,42658.1
423,Felicia,Mueller,138186,18061,9146,4298,169691.0,144237.35
424,James,Snyder,94894,13423,3902,4678,116897.0,99362.45
425,Derrick,Griffith,110334,7206,5302,3019,125861.0,106981.85
426,Wesley,Evans,82051,5916,6442,4151,98560.0,83776.0
427,Kimberly,Fisher,99037,17127,4893,4950,126007.0,107105.95
428,Caroline,Hamilton,141591,14295,7863,3590,167339.0,142238.15
429,Christina,Johnson,149006,16027,5244,1778,172055.0,146246.75
430,Vincent,Knight,41619,8642,3923,3345,57529.0,48899.65
431,Robert,Brooks,146634,11538,8761,1394,168327.0,143077.95
432,Roger,Michael,104282,12408,2986,4741,124417.0,105754.45
433,Tony,Haas,88598,8154,6749,2363,105864.0,89984.4
434,Michael,Preston,79918,10842,8240,2273,101273.0,86082.05
435,Jeffrey,Bass,116337,15567,7062,1194,140160.0,119136.0
436,Mark,Bartlett,114773,10211,5999,2462,133445.0,113428.25
437,Paul,Wood,95444,8208,5728,1557,110937.0,94296.45
438,Justin,Cooley,38575,16300,4211,4663,63749.0,54186.65
439,Randy,Blake,72726,17054,2130,1115,93025.0,79071.25
440,Tanya,Ramos,115675,15675,4758,3807,139915.0,118927.75
441,William,Adams,78082,5226,6028,3185,92521.0,78642.85
442,Andre,Grant,53237,6718,3128,3837,66920.0,56882.0
443,Timothy,House,118637,12408,7129,4868,143042.0,121585.7
444,Xavier,Houston,57842,9285,3237,1589,71953.0,61160.05
445,Allison,Ochoa,100312,11026,8032,3281,122651.0,104253.35
446,Keith,Smith,32815,15546,4687,3878,56926.0,48387.1
447,Patrick,Stone,111599,6077,9291,1954,128921.0,109582.85
448,Todd,Bradshaw,40457,16487,8751,1888,67583.0,57445.55
449,Laura,Good,58093,11095,8881,2817,80886.0,68753.1
450,Michael,Kaiser,141129,12518,6681,3304,163632.0,139087.2
451,Michael,Gilbert,55141,5604,4353,1736,66834.0,56808.9
452,Alyssa,Evans,125488,12128,4685,3641,145942.0,124050.7
453,Cassandra,Blankenship,56934,14622,9311,1986,82853.0,70425.05
454,Eric,Simon,66189,6569,2802,2334,77894.0,66209.9
455,Lauren,Jordan,65513,5830,2696,2231,76270.0,64829.5
456,Jennifer,Moore,139991,9821,6585,2513,158910.0,135073.5
457,Ashley,Newman,90017,17763,3729,4413,115922.0,98533.7
458,Eric,Weaver,40610,19081,4657,3902,68250.0,58012.5
459,Amy,Newton,56127,14021,4901,2315,77364.0,65759.4
460,Kelly,Gibson,106681,12207,8855,3961,131704.0,111948.4
461,Billy,Massey,94934,12611,8054,3931,119530.0,101600.5
462,Laura,Moore,136865,9207,9881,4487,160440.0,136374.0
463,William,Patrick,63696,12003,3434,2599,81732.0,69472.2
464,Sarah,Thomas,124371,7779,4304,2089,138543.0,117761.55
465,Brenda,Banks,84090,10799,9062,1170,105121.0,89352.85
466,Nicholas,Rodriguez,116062,17633,5715,2675,142085.0,120772.25
467,Carmen,Hill,82717,17831,3170,4231,107949.0,91756.65
468,Stephanie,Mcmahon,100639,7436,7459,3686,119220.0,101337.0
469,Jason,Mendoza,68158,11252,6159,4408,89977.0,76480.45
470,David,Brennan,104957,12295,9302,2710,129264.0,109874.4
471,Rachel,Young,136238,12341,4601,2624,155804.0,132433.4
472,Victor,Burke,105621,11944,9557,3408,130530.0,110950.5
473,Courtney,Clark,96515,14329,4430,3550,118824.0,101000.4
474,Michael,Adams,32674,8393,9703,2805,53575.0,45538.75
475,Dylan,Moon,95770,18050,8634,1195,123649.0,105101.65
476,Robert,Banks,119871,7186,4362,4473,135892.0,115508.2
477,Douglas,Miller,141320,5438,6866,3338,156962.0,133417.7
478,Sherri,Cervantes,83046,15597,5969,1547,106159.0,90235.15
479,Virginia,Soto,103173,6103,5191,2252,116719.0,99211.15
480,Erik,Leon,96111,18354,6177,1931,122573.0,104187.05
481,Jerry,Wheeler,61498,7044,8637,3853,81032.0,68877.2
482,Michael,Moore,32569,19966,2413,2094,57042.0,48485.7
483,Amanda,Strickland,107302,14269,7800,1971,131342.0,111640.7
484,Cassandra,Carroll,90307,5438,2487,3281,101513.0,86286.05
485,Dana,Moyer,84446,13815,4162,4570,106993.0,90944.05
486,Cheryl,Sherman,114169,7437,2502,4208,128316.0,109068.6
487,Theresa,Smith,81125,8468,2227,3569,95389.0,81080.65
488,Robert,Powers,105967,13683,6409,3111,129170.0,109794.5
489,Jamie,Hunt,89221,15469,7272,1455,113417.0,96404.45
490,Erin,Yates,39451,15595,7247,3621,65914.0,56026.9
491,Kirk,Andrade,89439,5436,2306,4793,101974.0,86677.9
492,Michael,Stanley,101884,15942,3358,2251,123435.0,104919.75
493,Andrew,Hughes,138401,8689,2699,1446,151235.0,128549.75
494,Lauren,Davis,70331,13496,5082,4624,93533.0,79503.05
495,Patrick,Duncan,148148,19319,7013,3060,177540.0,150909.0
496,Sierra,Johnston,86906,5339,2953,1998,97196.0,82616.6
497,Adam,Hicks,52378,11650,4970,4179,73177.0,62200.45
498,Amber,Ramos,140916,14702,7224,3838,166680.0,141678.0
499,Wendy,Taylor,127484,12225,8636,2436,150781.0,128163.85
500,Lisa,Graves,84072,5964,2733,3651,96420.0,81957.0
501,Todd,Stewart,125443,14827,8011,4917,153198.0,130218.3
502,Michael,Bowman,133929,15760,6836,3949,160474.0,136402.9
503,Amy,Hernandez,39748,5983,7125,4942,57798.0,49128.3
504,Zachary,Sanchez,31770,17728,6712,4931,61141.0,51969.85
505,Brian,Matthews,31359,13202,9634,3219,57414.0,48801.9
506,Ana,Cook,54373,19882,2737,1931,78923.0,67084.55
507,David,Thomas,30380,14894,3411,2635,51320.0,43622.0
508,Tina,Martinez,120311,19508,9467,1722,151008.0,128356.8
509,Deborah,Ramos,118389,17124,8153,2813,146479.0,124507.15
510,Jennifer,Williams,143519,17827,8887,4119,174352.0,148199.2
511,Stephanie,Burns,74966,12469,2957,3203,93595.0,79555.75
512,Caleb,Ayala,89012,10905,2222,3640,105779.0,89912.15
513,Sarah,Wiggins,72707,8026,8085,2838,91656.0,77907.6
514,Tony,Bridges,110758,14971,6588,1433,133750.0,113687.5
515,Vanessa,Carpenter,90922,15180,7773,4425,118300.0,100555.0
516,Harry,Garcia,127491,12177,6240,4301,150209.0,127677.65
517,Lynn,Huff,120805,17283,8800,1913,148801.0,126480.85
518,Bryan,Smith,100304,18572,3173,4747,126796.0,107776.6
519,Joseph,Johnson,140266,16113,3182,4399,163960.0,139366.0
520,Michael,Waters,125693,19605,2782,4796,152876.0,129944.6
521,Brian,Wilkins,87409,13865,4201,1025,106500.0,90525.0
522,Scott,Rivas,138676,18611,3473,1245,162005.0,137704.25
523,Christopher,Frazier,141776,18223,7422,3780,171201.0,145520.85
524,Amy,Clark,125967,13843,4105,2216,146131.0,124211.35
525,Jennifer,Greene,45013,9259,5445,1192,60909.0,51772.65
526,Donna,Henry,131354,19345,6688,1239,158626.0,134832.1
527,Anthony,White,85980,18067,7442,3698,115187.0,97908.95
528,William,Wolfe,95100,15589,4699,4056,119444.0,101527.4
529,Connor,Rodriguez,127680,16427,3262,1766,149135.0,126764.75
530,John,Robbins,70665,10166,8759,2669,92259.0,78420.15
531,Calvin,Woodard,122474,18962,7325,4722,153483.0,130460.55
532,David,Gomez,69754,7838,7445,3404,88441.0,75174.85
533,Martin,Garza,49234,11419,4090,3085,67828.0,57653.8
534,Jose,Edwards,146760,13641,6747,2777,169925.0,144436.25
535,Hannah,Anderson,114347,5764,2292,3089,125492.0,106668.2
536,Jessica,Medina,34643,18140,6258,2114,61155.0,51981.75
537,Brittany,Williams,53161,16987,6327,4182,80657.0,68558.45
538,Donna,Boyer,89779,5332,9023,4976,109110.0,92743.5
539,John,Roth,88413,19632,4955,1243,114243.0,97106.55
540,Jessica,Marshall,105072,8863,2345,2727,119007.0,101155.95
541,Jose,Duncan,93012,19442,2142,1554,116150.0,98727.5
542,Keith,Perez,56992,9688,5663,4377,76720.0,65212.0
543,Christina,Rodriguez,149235,18008,2245,1147,170635.0,145039.75
544,Danielle,Peterson,132489,6330,8884,2968,150671.0,128070.35
545,Meghan,Lucas,42442,7241,2312,2402,54397.0,46237.45
546,William,Nielsen,81158,17895,7619,4065,110737.0,94126.45
547,John,Martin,74149,9098,6931,3184,93362.0,79357.7
548,Clifford,Mills,118418,5671,9629,4851,138569.0,117783.65
549,Bryan,Anderson,97904,14984,4009,1392,118289.0,100545.65
550,Lori,Smith,94941,13813,2152,3397,114303.0,97157.55
551,Daniel,Ellis,88797,12573,2456,1915,105741.0,89879.85
552,Cathy,Strong,95120,13828,4421,2331,115700.0,98345.0
553,Jacqueline,Walker,43068,14873,7189,3439,68569.0,58283.65
554,Marcus,Taylor,126271,13760,6231,1368,147630.0,125485.5
555,Jacob,Ortiz,146254,11823,7715,3805,169597.0,144157.45
556,Thomas,Bryant,90113,18569,4803,2052,115537.0,98206.45
557,Michael,Bradley,71975,6075,5257,2713,86020.0,73117.0
558,Joseph,Nash,141517,19427,3066,1957,165967.0,141071.95
559,John,Bond,107050,10846,2318,4736,124950.0,106207.5
560,Derek,Lewis,30470,8615,5200,4566,48851.0,41523.35
561,Melinda,West,36295,16571,7139,1143,61148.0,51975.8
562,Katelyn,Freeman,124717,6362,6036,2720,139835.0,118859.75
563,Melissa,Rodriguez,38442,7089,9359,3802,58692.0,49888.2
564,Donna,Blair,111163,18846,6035,1884,137928.0,117238.8
565,William,Tyler,87307,11900,8569,4888,112664.0,95764.4
566,Marissa,Thomas,116015,15991,3808,4619,140433.0,119368.05
567,Robin,Turner,101444,19355,2404,3232,126435.0,107469.75
568,Kevin,Murphy,147675,15545,3861,1440,168521.0,143242.85
569,Kelly,Wong,117846,17389,3971,4413,143619.0,122076.15
570,Robert,Morton,56613,19278,4021,2189,82101.0,69785.85
571,Donald,Murphy,117515,18410,2370,1094,139389.0,118480.65
572,Tracy,Graham,86322,5026,6161,1517,99026.0,84172.1
573,Jonathan,Mills,35607,7079,6740,3290,52716.0,44808.6
574,George,Ryan,122629,9225,6736,1990,140580.0,119493.0
575,Bradley,Scott,56507,8763,4460,4489,74219.0,63086.15
576,Alexa,Bond,61775,8265,6408,1699,78147.0,66424.95
577,John,Banks,114166,18980,7774,3507,144427.0,122762.95
578,Christopher,Chavez,87014,17399,6070,1958,112441.0,95574.85
579,Victoria,Joseph,125626,6714,6294,2985,141619.0,120376.15
580,Thomas,Johnson,80762,5410,4583,1551,92306.0,78460.1
581,Jacob,Simpson,140164,5443,8207,2034,155848.0,132470.8
582,Kristin,Davis,83231,6429,3904,1215,94779.0,80562.15
583,Raymond,Esparza,99917,14302,8569,3592,126380.0,107423.0
584,Deborah,Richard,93011,6300,7738,3073,110122.0,93603.7
585,Crystal,Oconnell,101865,15395,8228,4460,129948.0,110455.8
586,Kenneth,Carter,146517,6960,3290,4369,161136.0,136965.6
587,Ryan,Ross,107183,8327,9700,4662,129872.0,110391.2
588,Lynn,Armstrong,100293,13663,8207,3887,126050.0,107142.5
589,Dillon,Rodriguez,61141,13151,2923,3170,80385.0,68327.25
590,Kenneth,Welch,96887,10451,4956,1719,114013.0,96911.05
591,Alexander,Smith,31086,10499,6603,1059,49247.0,41859.95
592,Virginia,Mitchell,110601,13234,3945,1335,129115.0,109747.75
593,Ryan,Marks,133011,9575,8535,2054,153175.0,130198.75
594,Yesenia,Pena,76982,12169,2424,4638,96213.0,81781.05
595,Tonya,Murray,76725,17749,7343,4294,106111.0,90194.35
596,Jason,Garcia,55909,9111,2145,1284,68449.0,58181.65
597,Christopher,Cantu,141365,19658,3175,3017,167215.0,142132.75
598,Laura,Thomas,77625,14876,5695,4741,102937.0,87496.45
599,John,Sharp,95133,13667,7419,2994,119213.0,101331.05
600,James,Vazquez,107464,12308,6638,2085,128495.0,109220.75
601,Jason,Dalton,51700,13346,7836,2794,75676.0,64324.6
602,Kelly,Knapp,56084,16515,6104,4456,83159.0,70685.15
603,Jonathan,Rodriguez,58898,15826,9200,3057,86981.0,73933.85
604,Brandy,Krause,83138,18017,6267,4753,112175.0,95348.75
605,Jason,Burke,126409,11033,8167,3518,149127.0,126757.95
606,Cassandra,Lewis,105382,19196,6875,2761,134214.0,114081.9
607,Pamela,Rodriguez,101121,12034,6652,1104,120911.0,102774.35
608,William,Pham,93032,6774,8052,1187,109045.0,92688.25
609,Deborah,Bailey,72293,16136,3233,3239,94901.0,80665.85
610,Amanda,Mcneil,47561,7113,6755,1381,62810.0,53388.5
611,Connor,Alexander,96974,8808,3792,4696,114270.0,97129.5
612,Jonathan,Diaz,109567,8786,4417,4872,127642.0,108495.7
613,Margaret,Tapia,129250,15839,3880,2277,151246.0,128559.1
614,Vanessa,Young,81772,15069,3460,2609,102910.0,87473.5
615,Mary,Murillo,114358,16101,5514,4080,140053.0,119045.05
616,Carly,Carpenter,115569,5132,6496,4967,132164.0,112339.4
617,Kirsten,Moore,82994,17490,4268,2519,107271.0,91180.35
618,Richard,Jones,130689,5676,5450,1270,143085.0,121622.25
619,Robert,Mitchell,143028,19802,6986,4194,174010.0,147908.5
620,Clifford,Thomas,85579,10085,6449,2083,104196.0,88566.6
621,Heather,Bauer,75140,14948,5729,3209,99026.0,84172.1
622,Elizabeth,Hunt,67928,8079,9198,3026,88231.0,74996.35
623,Jennifer,Curry,86575,13444,9543,1853,111415.0,94702.75
624,Gary,Vega,64818,5752,4099,3664,78333.0,66583.05
625,Wayne,Morrison,131135,17222,9420,3532,161309.0,137112.65
626,Sarah,Sheppard,69890,6868,9286,1298,87342.0,74240.7
627,Bradley,Hicks,148202,16979,2283,1196,168660.0,143361.0
628,Jeremy,Daniels,104342,12705,9376,3810,130233.0,110698.05
629,Steven,Yu,58445,9831,8688,2742,79706.0,67750.1
630,Brian,Rodriguez,126501,19911,6000,1501,153913.0,130826.05
631,Shannon,Nguyen,36605,8440,8906,4877,58828.0,50003.8
632,Kimberly,Marshall,69790,11598,2359,1859,85606.0,72765.1
633,Sarah,Miller,130757,16975,5762,1741,155235.0,131949.75
634,Tabitha,Welch,37193,14509,2637,4629,58968.0,50122.8
635,Virginia,Jensen,102642,8583,8835,1758,121818.0,103545.3
636,Michelle,Marshall,60392,17208,2665,1856,82121.0,69802.85
637,Charlotte,Reed,120058,14111,9204,2841,146214.0,124281.9
638,Lee,Taylor,94161,9316,7365,4651,115493.0,98169.05
639,Tony,Gross,85997,17733,6449,4969,115148.0,97875.8
640,Patricia,Hays,86730,6442,8955,3497,105624.0,89780.4
641,Danny,Williams,111303,13045,5511,2447,132306.0,112460.1
642,Stacey,Taylor,53548,18647,2840,1518,76553.0,65070.05
643,Miranda,Pierce,50214,16168,5786,3843,76011.0,64609.35
644,Reginald,Becker,143175,19018,3745,1054,166992.0,141943.2
645,Anthony,Campos,110012,10378,6558,2474,129422.0,110008.7
646,Richard,Martinez,49171,9429,8792,3608,71000.0,60350.0
647,Gregory,Miller,130053,15483,4853,2389,152778.0,129861.3
648,Brent,Smith,136775,16133,3366,1914,158188.0,134459.8
649,Melissa,Lopez,149149,9782,3603,1760,164294.0,139649.9
650,Andrew,Vazquez,134036,10704,9492,2142,156374.0,132917.9
651,Scott,Johns,131973,19658,7858,2097,161586.0,137348.1
652,William,Thompson,128720,7144,8424,4211,148499.0,126224.15
653,Christina,Perez,106952,15541,3499,3046,129038.0,109682.3
654,Jenna,Bray,104014,14986,8490,3300,130790.0,111171.5
655,Edward,Benson,87802,11349,9261,3895,112307.0,95460.95
656,Scott,Estrada,42878,7670,8004,2356,60908.0,51771.8
657,William,Foster,83880,12962,5736,2426,105004.0,89253.4
658,Derrick,Cuevas,79169,10718,5558,3761,99206.0,84325.1
659,Jasmine,Wolf,39284,17888,6257,4283,67712.0,57555.2
660,Adrian,Sandoval,104102,10500,5330,1356,121288.0,103094.8
661,David,Burke,57945,15008,7535,2995,83483.0,70960.55
662,Cheryl,Perez,134611,9294,8160,1024,153089.0,130125.65
663,Sarah,Carpenter,141502,10712,4933,1782,158929.0,135089.65
664,Brenda,Morales,53547,11300,7164,1499,73510.0,62483.5
665,Peter,Daniel,133048,18951,7566,4656,164221.0,139587.85
666,Linda,Evans,65607,11511,2859,2319,82296.0,69951.6
667,Angela,Williams,127071,13797,6945,4636,152449.0,129581.65
668,Joseph,Brown,146204,10350,9174,2169,167897.0,142712.45
669,Patrick,Rice,38046,12139,3156,3015,56356.0,47902.6
670,Carmen,Payne,145729,19657,3523,2106,171015.0,145362.75
671,Deborah,Alexander,142095,15366,4484,2980,164925.0,140186.25
672,Wendy,Summers,30163,10065,4021,2989,47238.0,40152.3
673,Dustin,Roy,109632,13439,9579,1594,134244.0,114107.4
674,Patricia,Arroyo,109128,17474,4046,2988,133636.0,113590.6
675,Jonathan,Rivera,72093,5534,4364,3163,85154.0,72380.9
676,Michael,Schmitt,121355,11012,8721,4915,146003.0,124102.55
677,Brittney,Sherman,53842,17956,9757,2490,84045.0,71438.25
678,Kristen,Long,146418,18306,3669,1284,169677.0,144225.45
679,Gregory,Glover,82926,8001,4988,4916,100831.0,85706.35
680,Maria,Diaz,52913,19387,8449,4422,85171.0,72395.35
681,Matthew,Watkins,143512,7487,7208,3834,162041.0,137734.85
682,Lynn,Lopez,128003,8882,6963,4686,148534.0,126253.9
683,Cindy,Torres,62417,17431,6451,4937,91236.0,77550.6
684,Justin,Mack,61811,16429,3582,4294,86116.0,73198.6
685,Jimmy,Sullivan,109849,7887,3116,4110,124962.0,106217.7
686,Gina,Robles,76722,15741,7357,3820,103640.0,88094.0
687,Daniel,Koch,106249,15301,9314,2402,133266.0,113276.1
688,Douglas,Cochran,100218,17527,2329,2771,122845.0,104418.25
689,Jesse,Hunter,106824,13445,3891,3059,127219.0,108136.15
690,Danny,Shields,126883,14397,7011,3291,151582.0,128844.7
691,Nicole,Ibarra,73171,10749,7434,1718,93072.0,79111.2
692,Jessica,Davis,40227,13959,4063,3916,62165.0,52840.25
693,Darryl,Henry,115292,18934,4389,4384,142999.0,121549.15
694,Cynthia,Roth,147449,12069,6601,1558,167677.0,142525.45
695,Michael,Zamora,121438,10306,9045,2972,143761.0,122196.85
696,Larry,Martin,121790,18815,7663,1430,149698.0,127243.3
697,John,Cunningham,143588,8150,2917,4428,159083.0,135220.55
698,Debra,Roman,68207,6714,9462,4611,88994.0,75644.9
699,Erik,Alvarez,76308,15423,4151,3546,99428.0,84513.8
700,Eric,Lewis,70958,6887,2083,2263,82191.0,69862.35
701,Jonathan,Woods,58811,13274,8365,3136,83586.0,71048.1
702,Charles,Branch,117719,8749,9266,2757,138491.0,117717.35
703,David,Maldonado,116524,12492,8158,4414,141588.0,120349.8
704,Cynthia,Richardson,74258,15418,3127,3876,96679.0,82177.15
705,Michael,Anderson,134945,17854,2281,3749,158829.0,135004.65
706,Michael,Leon,33809,10893,9646,3060,57408.0,48796.8
707,William,Vargas,58559,19274,8221,3121,89175.0,75798.75
708,Darryl,Floyd,145743,14144,4227,2600,166714.0,141706.9
709,Brandon,Gonzales,38199,17090,9708,4698,69695.0,59240.75
710,Christopher,Ashley,136694,18608,2402,2543,160247.0,136209.95
711,Ashley,Hall,122176,10462,5708,1033,139379.0,118472.15
712,Jay,Johnson,42979,11981,7217,2482,64659.0,54960.15
713,Margaret,Booth,99212,7497,5609,2554,114872.0,97641.2
714,Lisa,Bean,47257,15061,9573,3826,75717.0,64359.45
715,Joseph,Cole,49832,13102,2013,4799,69746.0,59284.1
716,Tina,Rodriguez,139927,14791,6129,2226,163073.0,138612.05
717,Danielle,Morse,143610,6442,6614,1314,157980.0,134283.0
718,Allison,Malone,69891,9180,2533,2977,84581.0,71893.85
719,Timothy,Walker,37136,14589,7268,4622,63615.0,54072.75
720,Stephanie,Yoder,41579,17073,4175,3447,66274.0,56332.9
721,Suzanne,Wolfe,51709,5442,6996,2765,66912.0,56875.2
722,Jessica,Trevino,127179,7384,2564,1959,139086.0,118223.1
723,Robert,Stephens,103840,10072,6155,2348,122415.0,104052.75
724,James,Cole,81241,15946,7906,1482,106575.0,90588.75
725,Kathy,Barajas,60287,8748,7379,2523,78937.0,67096.45
726,John,Stewart,83309,17419,3887,2985,107600.0,91460.0
727,Ryan,Page,105777,9983,6874,1137,123771.0,105205.35
728,Vanessa,Walls,120163,16937,4135,3714,144949.0,123206.65
729,Troy,Andrews,114072,6075,6370,4990,131507.0,111780.95
730,Bradley,Brown,146448,5595,2459,1927,156429.0,132964.65
731,Alexander,Shea,134901,16785,8750,2989,163425.0,138911.25
732,Alicia,Mays,92355,5778,5940,3151,107224.0,91140.4
733,Jenna,Hoffman,85519,11973,9756,1535,108783.0,92465.55
734,Carmen,Ruiz,36509,12512,6853,4414,60288.0,51244.8
735,David,Baldwin,36561,6367,7231,1852,52011.0,44209.35
736,Kristen,Nichols,32555,18520,2408,2729,56212.0,47780.2
737,Julie,Douglas,43241,6202,2608,1879,53930.0,45840.5
738,John,Curry,109635,11496,2666,4355,128152.0,108929.2
739,Charles,Hernandez,132264,11642,2672,4750,151328.0,128628.8
740,Kelly,Hernandez,143710,15011,9732,4787,173240.0,147254.0
741,Stacy,Ortega,67496,18350,3339,4463,93648.0,79600.8
742,Aaron,Bennett,117588,9051,4475,2014,133128.0,113158.8
743,Steven,Vincent,106707,17419,9701,1840,135667.0,115316.95
744,Stephen,Carrillo,68854,15067,7532,4438,95891.0,81507.35
745,Darlene,French,59926,18413,7985,1418,87742.0,74580.7
746,David,Armstrong,62709,5194,4338,2924,75165.0,63890.25
747,Tammy,Wright,55751,13563,7692,1863,78869.0,67038.65
748,Nicole,Rivers,32413,6362,9919,3746,52440.0,44574.0
749,Sean,Gilbert,54130,8617,2014,2083,66844.0,56817.4
750,Deborah,Smith,56768,11344,5295,1924,75331.0,64031.35
751,Christopher,Wright,122037,5879,6432,3134,137482.0,116859.7
752,Amber,Conner,137463,16133,3077,4594,161267.0,137076.95
753,Karen,Key,80954,6481,2034,1938,91407.0,77695.95
754,Lauren,Wright,92171,16708,9365,4224,122468.0,104097.8
755,James,Suarez,100635,9864,8165,1844,120508.0,102431.8
756,Brooke,Thomas,139239,19247,6112,2097,166695.0,141690.75
757,Donna,Smith,37041,14883,8534,1032,61490.0,52266.5
758,Lori,Tapia,87245,17001,3374,4811,112431.0,95566.35
759,Kenneth,Ayala,137243,8096,5141,4591,155071.0,131810.35
760,Jose,Francis,87668,9265,7168,4211,108312.0,92065.2
761,Lisa,Glenn,144580,11854,5457,4979,166870.0,141839.5
762,David,Martinez,109963,10755,2837,1735,125290.0,106496.5
763,Emma,Alexander,143060,12198,4718,3488,163464.0,138944.4
764,Michele,Johnson,71335,12180,4886,1232,89633.0,76188.05
765,Dakota,Williams,37066,14859,5870,3179,60974.0,51827.9
766,Lawrence,Fischer,95855,19710,3098,2741,121404.0,103193.4
767,Tony,Ross,101139,6866,5966,4511,118482.0,100709.7
768,Laura,Douglas,109048,17852,3031,3543,133474.0,113452.9
769,William,Jimenez,47760,11080,2930,1262,63032.0,53577.2
770,Eric,Byrd,104303,8692,7755,3443,124193.0,105564.05
771,Laura,Steele,143611,16702,4149,2134,166596.0,141606.6
772,Christopher,Willis,87674,7960,2758,2934,101326.0,86127.1
773,William,Jackson,33295,10813,6094,2702,52904.0,44968.4
774,Michael,Leonard,140204,7671,4512,4799,157186.0,133608.1
775,Cory,Coleman,145480,17543,3831,2259,169113.0,143746.05
776,Sheri,Fernandez,102441,11794,4908,1226,120369.0,102313.65
777,Dorothy,White,98807,11821,5934,4474,121036.0,102880.6
778,Amanda,Hill,97833,13535,5329,4438,121135.0,102964.75
779,Leah,Keith,123930,5888,5191,4816,139825.0,118851.25
780,Dorothy,Rollins,41318,17355,4193,1536,64402.0,54741.7
781,Alan,Cunningham,36913,19269,9238,3783,69203.0,58822.55
782,Beth,Rivera,113479,14632,3146,3168,134425.0,114261.25
783,Ashley,Green,107897,11573,6770,3678,129918.0,110430.3
784,Charles,Moon,116740,17524,4338,4030,142632.0,121237.2
785,Tanya,Sharp,130119,17726,5315,1677,154837.0,131611.45
786,Thomas,Levy,62281,15522,5644,2353,85800.0,72930.0
787,Bradley,Hernandez,107854,12272,5967,1605,127698.0,108543.3
788,David,White,93090,11635,2114,1466,108305.0,92059.25
789,Richard,Finley,95729,18601,5107,4689,124126.0,105507.1
790,Lori,Woodward,137796,19803,4343,4901,166843.0,141816.55
791,Lindsey,Tyler,93817,7554,5229,1876,108476.0,92204.6
792,Brian,Martin,117312,15477,6955,4666,144410.0,122748.5
793,Theresa,Moore,139006,7658,9464,2814,158942.0,135100.7
794,Dominic,Hicks,108894,19174,5041,3509,136618.0,116125.3
795,Justin,Cherry,148808,6500,9267,2185,166760.0,141746.0
796,Michael,Johnson,136633,6052,9102,1858,153645.0,130598.25
797,Michelle,Moore,106806,13365,2630,4830,127631.0,108486.35
798,Willie,Robertson,127700,16616,4067,3107,151490.0,128766.5
799,Victoria,Rogers,118405,10115,7777,4470,140767.0,119651.95
800,Michael,Graham,143377,8056,4204,1081,156718.0,133210.3
801,Charles,Foster,109934,15502,4613,1398,131447.0,111729.95
802,Amanda,Johnson,117564,15908,7478,1844,142794.0,121374.9
803,Henry,Garcia,47260,9462,9144,2736,68602.0,58311.7
804,Michael,Ingram,60633,13991,7368,3974,85966.0,73071.1
805,Austin,Mills,82770,15608,6725,2534,107637.0,91491.45
806,Alison,Price,37668,10937,6310,4423,59338.0,50437.3
807,Krista,Tucker,67726,17306,9310,1702,96044.0,81637.4
808,Kimberly,Holt,67650,11707,2794,1965,84116.0,71498.6
809,David,Jones,114313,19228,8565,1970,144076.0,122464.6
810,Leonard,Campbell,83910,7278,7466,4342,102996.0,87546.6
811,Vincent,French,149584,11565,2140,4046,167335.0,142234.75
812,Caroline,Delgado,87370,6835,5045,4784,104034.0,88428.9
813,John,Bradford,100410,16990,8957,1596,127953.0,108760.05
814,Emily,Hernandez,125594,9749,8444,4329,148116.0,125898.6
815,Karen,Best,126471,6486,5391,3850,142198.0,120868.3
816,James,Mcconnell,109741,15451,9050,2643,136885.0,116352.25
817,Joel,Brown,66329,5252,9726,1189,82496.0,70121.6
818,Mary,Archer,84266,13119,8954,3716,110055.0,93546.75
819,Andrea,Johnson,66210,15867,7422,4992,94491.0,80317.35
820,Mariah,Rodriguez,147478,5139,2795,2412,157824.0,134150.4
821,Kristin,Andrews,134446,10107,5355,2443,152351.0,129498.35
822,Mandy,Matthews,95319,6614,9733,2195,113861.0,96781.85
823,Jennifer,Hernandez,63353,11593,2058,3440,80444.0,68377.4
824,Richard,White,127653,13792,6321,2099,149865.0,127385.25
825,Raymond,Rogers,103218,13615,7820,1039,125692.0,106838.2
826,Michelle,Merritt,121162,17597,5580,3741,148080.0,125868.0
827,Derrick,Robinson,73112,17654,8033,3519,102318.0,86970.3
828,Charles,Wood,64489,6683,7945,4051,83168.0,70692.8
829,Amy,Salazar,91943,14923,2950,4239,114055.0,96946.75
830,Patricia,Craig,101815,7177,7274,1348,117614.0,99971.9
831,Steven,Richardson,78576,19031,3882,3778,105267.0,89476.95
832,James,Barr,115660,12874,4500,2365,135399.0,115089.15
833,Laura,Garrett,91150,7286,3553,2779,104768.0,89052.8
834,Brian,Mcintyre,56797,7826,5285,3861,73769.0,62703.65
835,Cheryl,Christian,86329,5260,5563,2288,99440.0,84524.0
836,Luke,Nichols,103160,18911,4501,1412,127984.0,108786.4
837,James,Miles,81730,16607,3612,3188,105137.0,89366.45
838,Carla,Cox,144740,5631,6896,1615,158882.0,135049.7
